"Story","Title","Result","Date","Stability","Duration (s)"
"Employee curd test with steps","Getting the Single Employee Details By Id","FAILURE","2022-06-07T17:57:37.831+01:00[Europe/London]","0.0","0.9"
"Employee curd test with steps","Creating an Employee","FAILURE","2022-06-07T17:57:38.743+01:00[Europe/London]","0.0","1.12"
"Employee curd test with steps","Deleting the Employee and verify if the Employee is deleted or not","FAILURE","2022-06-07T17:57:39.938+01:00[Europe/London]","0.0","0.85"
